station,lat,lon,year,tmax,tmin,airfrost,rain,sun
Yeovilton,51.006,-2.641,1964,20.5,0.1,6.25,56.45,NaN
Yeovilton,51.006,-2.641,1965,19.9,0.1,5.58333333333333,67.35,NaN
Yeovilton,51.006,-2.641,1966,20.1,1.2,2.75,72.9333333333333,NaN
Yeovilton,51.006,-2.641,1967,21.8,1.4,4.66666666666667,65.9333333333333,NaN
Yeovilton,51.006,-2.641,1968,20.5,-1.7,5.66666666666667,59.5833333333333,NaN
Yeovilton,51.006,-2.641,1969,22.1,-1.1,5.16666666666667,63,NaN
Yeovilton,51.006,-2.641,1970,21.8,0.2,5.41666666666667,60.425,NaN
Yeovilton,51.006,-2.641,1971,23.4,0.1,4.08333333333333,57.725,NaN
Yeovilton,51.006,-2.641,1972,20.6,1.7,4,69.9,NaN
Yeovilton,51.006,-2.641,1973,22.4,-0.2,6.41666666666667,53.8666666666667,NaN
Yeovilton,51.006,-2.641,1974,19.9,1.8,2.33333333333333,74.2666666666667,NaN
Yeovilton,51.006,-2.641,1975,24,1.3,3.75,50.775,NaN
Yeovilton,51.006,-2.641,1976,24.8,-0.9,5.41666666666667,59.5916666666667,NaN
Yeovilton,51.006,-2.641,1977,21.2,0.1,4,63.3,NaN
Yeovilton,51.006,-2.641,1978,20.1,-0.1,4.75,58.3333333333333,NaN
Yeovilton,51.006,-2.641,1979,21.6,-4.2,6,73.8916666666667,NaN
Yeovilton,51.006,-2.641,1980,20.6,-2,4.91666666666667,64.9333333333333,NaN
Yeovilton,51.006,-2.641,1981,21.9,-1.2,5.08333333333333,60.6916666666667,NaN
Yeovilton,51.006,-2.641,1982,21.7,0.7,4.08333333333333,65.8416666666667,NaN
Yeovilton,51.006,-2.641,1983,26.6,-0.2,4.16666666666667,48.1083333333333,54.6
Yeovilton,51.006,-2.641,1984,23.3,1,4.08333333333333,51.0166666666667,140.05
Yeovilton,51.006,-2.641,1985,21.4,-3.2,6,52.6,123.725
Yeovilton,51.006,-2.641,1986,20.7,-3.3,5.33333333333333,63.7916666666667,126.191666666667
Yeovilton,51.006,-2.641,1987,21.3,-1.9,5.16666666666667,51.6583333333333,125.65
Yeovilton,51.006,-2.641,1988,20,0.5,4.5,55.6583333333333,126.866666666667
Yeovilton,51.006,-2.641,1989,24.4,2.4,3.33333333333333,61.6833333333333,143.308333333333
Yeovilton,51.006,-2.641,1990,23.8,1,3,51.1916666666667,146.483333333333
Yeovilton,51.006,-2.641,1991,22.2,-3,4.91666666666667,57.6833333333333,111.158333333333
Yeovilton,51.006,-2.641,1992,21.6,0.7,4.33333333333333,60.175,112.466666666667
Yeovilton,51.006,-2.641,1993,20.6,1.8,3.5,63.8166666666667,113.966666666667
Yeovilton,51.006,-2.641,1994,23.4,0.6,3.08333333333333,68.3083333333333,125
Yeovilton,51.006,-2.641,1995,26.9,0.4,4,56.2083333333333,145.841666666667
Yeovilton,51.006,-2.641,1996,22.4,-0.6,5.5,46.7916666666667,132.408333333333
Yeovilton,51.006,-2.641,1997,23.4,-0.8,5.25,56.7833333333333,127.775
Yeovilton,51.006,-2.641,1998,21.4,2.2,3.91666666666667,66.2,119.933333333333
Yeovilton,51.006,-2.641,1999,23.3,2.1,3.66666666666667,71.7583333333333,131.991666666667
Yeovilton,51.006,-2.641,2000,21.8,0.8,3.33333333333333,77.975,125.541666666667
Yeovilton,51.006,-2.641,2001,21.8,-0.5,5.91666666666667,58.8166666666667,129.758333333333
Yeovilton,51.006,-2.641,2002,21.3,3.1,2.08333333333333,79.7166666666667,125.691666666667
Yeovilton,51.006,-2.641,2003,24.6,1.3,4.91666666666667,45.2416666666667,143.541666666667
Yeovilton,51.006,-2.641,2004,22.3,2.1,3.41666666666667,53.8833333333333,123.583333333333
Yeovilton,51.006,-2.641,2005,21.9,-0.3,5.25,58.5916666666667,125.181818181818
Yeovilton,51.006,-2.641,2006,26,0.5,4.41666666666667,53.75,131.816666666667
Yeovilton,51.006,-2.641,2007,20.6,2.2,3.41666666666667,60.7666666666667,131.525
Yeovilton,51.006,-2.641,2008,20.8,-0.1,4.5,67.3,124.65
Yeovilton,51.006,-2.641,2009,20.8,-0.3,4.83333333333333,56.475,126.191666666667
Yeovilton,51.006,-2.641,2010,22.5,-4.5,7.5,47.925,136.066666666667
Yeovilton,51.006,-2.641,2011,20.7,1.1,3,49.0666666666667,126.175
Yeovilton,51.006,-2.641,2012,20.7,0.8,4.08333333333333,82.2166666666667,118.483333333333
Yeovilton,51.006,-2.641,2013,25.3,0,5.08333333333333,54.35,125.775
Yeovilton,51.006,-2.641,2014,23.3,1.6,2.08333333333333,76.1666666666667,134.883333333333
Yeovilton,51.006,-2.641,2015,21.3,0.2,2.91666666666667,52.7833333333333,118.775
Wick Airport,58.454,-3.088,1914,15.2,0.5,NaN,60.875,NaN
Wick Airport,58.454,-3.088,1915,14.6,0.2,NaN,56.3083333333333,NaN
Wick Airport,58.454,-3.088,1916,13.8,0.6,NaN,59.475,NaN
Wick Airport,58.454,-3.088,1917,14.9,0,NaN,66.25,NaN
Wick Airport,58.454,-3.088,1918,15,-1.8,NaN,67.95,NaN
Wick Airport,58.454,-3.088,1919,14.7,-1.1,NaN,72.4,NaN
Wick Airport,58.454,-3.088,1920,14.8,0.2,NaN,55.2333333333333,NaN
Wick Airport,58.454,-3.088,1921,14.9,1.6,NaN,53.4666666666667,NaN
Wick Airport,58.454,-3.088,1922,13.6,1.4,NaN,60.15,NaN
Wick Airport,58.454,-3.088,1923,15.2,1.9,NaN,81.7666666666667,NaN
Wick Airport,58.454,-3.088,1924,14.8,0.9,NaN,55.1833333333333,NaN
Wick Airport,58.454,-3.088,1925,15.4,0.2,NaN,55.35,NaN
Wick Airport,58.454,-3.088,1926,15.1,2.8,NaN,67.8083333333333,NaN
Wick Airport,58.454,-3.088,1927,14.6,1.9,NaN,64.1166666666667,NaN
Wick Airport,58.454,-3.088,1928,13.8,2,NaN,66.7666666666667,NaN
Wick Airport,58.454,-3.088,1929,14.4,0.9,NaN,71.6416666666667,NaN
Wick Airport,58.454,-3.088,1930,14.9,0.7,3,67.6916666666667,NaN
Wick Airport,58.454,-3.088,1931,14.2,-0.5,3.16666666666667,63.7083333333333,NaN
Wick Airport,58.454,-3.088,1932,15.6,1.6,2.41666666666667,64.4083333333333,NaN
Wick Airport,58.454,-3.088,1933,17.3,0.5,2.16666666666667,51.7916666666667,NaN
Wick Airport,58.454,-3.088,1934,16,0.8,2,67.2166666666667,NaN
Wick Airport,58.454,-3.088,1935,16.3,0.4,3.5,72.4666666666667,NaN
Wick Airport,58.454,-3.088,1936,16.1,0,3.58333333333333,64.9416666666667,NaN
Wick Airport,58.454,-3.088,1937,15.4,-0.2,3.58333333333333,56.9666666666667,NaN
Wick Airport,58.454,-3.088,1938,15.6,1.9,1.83333333333333,70.6416666666667,NaN
Wick Airport,58.454,-3.088,1939,15.4,-0.4,2.33333333333333,56.625,NaN
Wick Airport,58.454,-3.088,1940,15.2,-1.1,3.25,57.1583333333333,NaN
Wick Airport,58.454,-3.088,1941,15.5,-0.6,3.83333333333333,52.2333333333333,NaN
Wick Airport,58.454,-3.088,1942,15.9,-0.6,4.33333333333333,63.1166666666667,NaN
Wick Airport,58.454,-3.088,1943,15.4,1.8,1.66666666666667,66.3,NaN
Wick Airport,58.454,-3.088,1944,16.8,1,3.41666666666667,67.925,NaN
Wick Airport,58.454,-3.088,1945,16.7,-2.5,2.75,67.8333333333333,107.84
Wick Airport,58.454,-3.088,1946,16.6,0.4,3.25,54.3333333333333,115.058333333333
Wick Airport,58.454,-3.088,1947,18.3,-2.9,5.5,56.5833333333333,115.866666666667
Wick Airport,58.454,-3.088,1948,15.5,0.6,3,65.125,121.116666666667
Wick Airport,58.454,-3.088,1949,16.6,0.9,3.91666666666667,62.6166666666667,113.833333333333
Wick Airport,58.454,-3.088,1950,16.6,-1.1,4.41666666666667,74.7333333333333,119.766666666667
Wick Airport,58.454,-3.088,1951,16,0.6,4.25,65.7166666666667,112.65
Wick Airport,58.454,-3.088,1952,15.7,-1.6,5.41666666666667,68.4416666666667,103.016666666667
Wick Airport,58.454,-3.088,1953,16.4,1.7,2.25,57.1583333333333,106.383333333333
Wick Airport,58.454,-3.088,1954,15,0.6,2.83333333333333,78.175,102.858333333333
Wick Airport,58.454,-3.088,1955,18.1,-2.4,5.25,60,120.433333333333
Wick Airport,58.454,-3.088,1956,14.8,-1,4.25,68.7833333333333,103.008333333333
Wick Airport,58.454,-3.088,1957,14.7,0.3,2.16666666666667,71.45,104.508333333333
Wick Airport,58.454,-3.088,1958,15.7,-1.1,5.08333333333333,67.9833333333333,110.875
Wick Airport,58.454,-3.088,1959,17.1,-2.3,3.33333333333333,67,110.316666666667
Wick Airport,58.454,-3.088,1960,16,-1,3.08333333333333,67.4583333333333,114.425
Wick Airport,58.454,-3.088,1961,15.8,-1.1,4.5,56.8666666666667,105.933333333333
Wick Airport,58.454,-3.088,1962,14.7,-1.3,5,66.8333333333333,102.066666666667
Wick Airport,58.454,-3.088,1963,14.9,-2.3,4.83333333333333,59.15,102.95
Wick Airport,58.454,-3.088,1964,15.9,0.2,2.25,60.0083333333333,96.0666666666667
Wick Airport,58.454,-3.088,1965,15,-0.3,5.16666666666667,68.725,93.8
Wick Airport,58.454,-3.088,1966,15.6,0.8,5.08333333333333,83.8,96.5833333333333
Wick Airport,58.454,-3.088,1967,16.6,1.1,3.33333333333333,72.5083333333333,106.408333333333
Wick Airport,58.454,-3.088,1968,15.1,-1,5.33333333333333,61.775,93.8666666666667
Wick Airport,58.454,-3.088,1969,17.4,-2.4,5.25,65.7166666666667,99.3916666666667
Wick Airport,58.454,-3.088,1970,16.1,-2.1,5,74.3666666666667,101.383333333333
Wick Airport,58.454,-3.088,1971,15.8,1.8,2.58333333333333,53.35,102.425
Wick Airport,58.454,-3.088,1972,15.7,2.1,2.33333333333333,46.8583333333333,106.425
Wick Airport,58.454,-3.088,1973,15.9,-0.6,5,71.9,97.7333333333333
Wick Airport,58.454,-3.088,1974,16.3,2.1,1.83333333333333,61.075,101.908333333333
Wick Airport,58.454,-3.088,1975,17.6,0.9,3.08333333333333,51.8583333333333,108.008333333333
Wick Airport,58.454,-3.088,1976,17.8,-0.7,3.16666666666667,55.2833333333333,106.875
Wick Airport,58.454,-3.088,1977,15.1,0.2,4.08333333333333,62.7166666666667,105.533333333333
Wick Airport,58.454,-3.088,1978,14.8,-1.6,4.58333333333333,61.6583333333333,98.2333333333333
Wick Airport,58.454,-3.088,1979,15.2,-2.1,5.58333333333333,77.9166666666667,97.85
Wick Airport,58.454,-3.088,1980,15,1.5,2.41666666666667,72.6666666666667,86.6833333333333
Wick Airport,58.454,-3.088,1981,15.9,-1.7,5.41666666666667,78.7583333333333,98.8166666666667
Wick Airport,58.454,-3.088,1982,16.7,0.1,3.75,70.0666666666667,104.766666666667
Wick Airport,58.454,-3.088,1983,16.7,-0.6,4.08333333333333,60.55,84.2583333333333
Wick Airport,58.454,-3.088,1984,17.4,-1.9,3.25,76.025,95.0083333333333
Wick Airport,58.454,-3.088,1985,15.5,-1,4.58333333333333,83.375,107.883333333333
Wick Airport,58.454,-3.088,1986,15.6,-1.4,4.5,61.2166666666667,112.45
Wick Airport,58.454,-3.088,1987,15,0.1,4.58333333333333,67.3333333333333,97.875
Wick Airport,58.454,-3.088,1988,15.6,1.1,3.58333333333333,69.1416666666667,107.191666666667
Wick Airport,58.454,-3.088,1989,16.9,0.9,3.5,50.3333333333333,124.433333333333
Wick Airport,58.454,-3.088,1990,17.1,1.8,2.5,69.5166666666667,114.733333333333
Wick Airport,58.454,-3.088,1991,17.8,0.5,2.75,60.1166666666667,104.583333333333
Wick Airport,58.454,-3.088,1992,15.7,0.6,3.41666666666667,73.6833333333333,97.25
Wick Airport,58.454,-3.088,1993,14.5,-0.3,3.91666666666667,58.975,84.3666666666667
Wick Airport,58.454,-3.088,1994,16.2,0.8,3.5,58.45,NaN
Wick Airport,58.454,-3.088,1995,18.4,-0.3,5.16666666666667,69,NaN
Wick Airport,58.454,-3.088,1996,16.5,0.4,4,68.6083333333333,NaN
Wick Airport,58.454,-3.088,1997,18.1,0.6,2.91666666666667,63.9666666666667,NaN
Wick Airport,58.454,-3.088,1998,15.3,1.8,3.54545454545455,86.0416666666667,NaN
Wick Airport,58.454,-3.088,1999,16.4,0,4.25,72.4583333333333,NaN
Wick Airport,58.454,-3.088,2000,16.3,1.1,2.58333333333333,70.6833333333333,NaN
